rank,name,username,network_degrees,journo_followers,total_followers,location,site,page_rank,betweenness_centrality,closeness_centrality,score_1,score
1,Maggie Haberman,maggieNYT,5060,4830,1704971,,NYTimes,0.001094305,0.013761756,0.638939384,7575.00331,4755.627104
2,Rachel Maddow,maddow,3031,2673,10619323,"New York, NY USA",MSNBC,0.000686812,0.006091585,0.566975093,12134.81679,4197.831652
3,Nate Silver,NateSilver538,3973,3972,3566667,New York,FiveThirtyEight,0.000902491,0.013969417,0.59999051,8694.267108,3799.820031
4,Ezra Klein,ezraklein,3646,3580,2710631,,NYTimes,0.00078552,0.006483814,0.586633439,6814.686327,3658.722352
5,Jake Tapper,jaketapper,4081,3641,3350777,"Washington, D.C.",CNN,0.000904569,0.010374709,0.603754946,7707.726352,3425.924833
6,Anderson Cooper,andersoncooper,2316,2281,10020953,New York,CNN,0.00055477,0.005513867,0.545730393,9900.264598,3323.843158
7,David Fahrenthold,Fahrenthold,3967,3681,848609,"Washington, DC",NYTimes,0.000826141,0.005205061,0.597860406,4722.243243,3014.37985
8,Ben Smith,semaforben,4199,3893,347302,"Brooklyn, NY",NYTimes,0.000885204,0.007283386,0.605927337,4343.682229,2994.498557
9,Paul Krugman,paulkrugman,2499,2489,4625630,New York City,NYTimes,0.000577855,0.005432742,0.551031726,6326.731023,2914.648489
10,David Weigel,daveweigel,3781,3186,606672,"Los Angeles, CA",WashingtonPost,0.000784147,0.00462884,0.590619768,3830.285664,2382.775281
11,Brian Stelter,brianstelter,3876,3497,791840,New York City,CNN,0.000820623,0.006147775,0.594791917,4420.021493,2354.490195
12,Nicholas Kristof,NickKristof,2725,2503,2008969,"Yamhill, Oregon",NYTimes,0.000585838,0.003373354,0.557098601,4179.149802,2233.569784
13,Ronan Farrow,RonanFarrow,3145,2865,1121887,Genovia,NewYorker,0.000684081,0.005129171,0.571272635,3936.402085,2185.568376
14,Christopher Hayes,chrislhayes,2817,2755,2435452,Brooklyn,MSNBC,0.00060581,0.003098279,0.560430011,4991.556753,2170.701443
15,Peter Baker,peterbakernyt,2987,2810,581589,,NYTimes,0.00060804,0.001937857,0.564480675,3354.75503,2087.931048
16,Nikole Hannah-Jones,nhannahjones,2856,2790,666526,nhannahjones@nytimes.com,NYTimes,0.000609998,0.003412771,0.559731474,3409.86918,2082.157149
17,Robert Costa,costareports,2927,2704,731871,"Washington, D.C.",WashingtonPost,0.000601275,0.002116414,0.562536121,3363.659728,1962.634716
18,Jim Acosta,Acosta,2631,2512,2333462,"Washington, DC",CNN,0.000585311,0.003766311,0.555834427,4465.885515,1939.274498
19,Yashar Ali,yashar,4357,2806,743181,ðððð,HuffingtonPost,0.000950337,0.01206453,0.612713447,3501.121962,1932.229219
20,Rukmini Callimachi,rcallimachi,2897,2620,370192,"New York, New York",NYTimes,0.000621458,0.003496254,0.562859282,2943.301013,1878.813368
