writer,twitter_name,num_followers,url,num_following,broad_location,polarity,num_journo_followers,score
Yamiche Alcindor,Yamiche,12000000,Pbs,6000,anchor and moderator of ,-1,5439,32634
Rachel Maddow,maddow,10619323,MSNBC,4611,New York,-2,5150,28529.83782
Anderson Cooper,andersoncooper,10020953,CNN,315,New York,-2,4891,26119.49371
Maggie Haberman,maggieNYT,1704971,NYTimes,5619,,-1,9189,25960.35879
Nate Silver,NateSilver538,3566667,FiveThirtyEight,0,New York,0,7439,23722.14527
Ezra Klein,ezraklein,2710631,NYTimes,1457,,-1,6557,20942.3894
Jake Tapper,jaketapper,3350777,CNN,10387,Washington,-2,6613,20612.22943
Paul Krugman,paulkrugman,4625630,NYTimes,97,New York,-1,4819,18775.13402
David Fahrenthold,Fahrenthold,848609,NYTimes,5600,Washington,-1,6453,16204.49375
Ben Smith,semaforben,347302,NYTimes,6000,Brooklyn,-1,6384,14857.76452
Brian Stelter,brianstelter,791840,CNN,7330,New York,-2,6131,13880.25701
Ronan Farrow,RonanFarrow,1121887,NewYorker,5169,genovia,-2,5355,13507.10381
Christopher Hayes,chrislhayes,2435452,MSNBC,1483,Brooklyn,-2,4696,13204.2942
Nicholas Kristof,NickKristof,2008969,NYTimes,3200,yamhill oregon,-1,4488,13179.55939
Jim Acosta,Acosta,2333462,CNN,5021,Washington,-2,4696,13044.64585
Nikole Hannah-Jones,nhannahjones,666526,NYTimes,2579,New York,-1,5270,12881.95041
David Weigel,daveweigel,606672,WashingtonPost,12407,LA,-1,5159,12213.36914
Peter Baker,peterbakernyt,581589,NYTimes,3267,,-1,4825,11643.92787
Taylor Lorenz,TaylorLorenz,246378,NYTimes,900,follow me on instagram!!,-1,5060,11589.11332
Christiane Amanpour,amanpour,3116888,CNN,935,London,-2,3734,11347.4866
Robert Costa,costareports,731871,WashingtonPost,5501,Washington,-1,4522,10908.21157
Daniel Dale,ddale8,1224772,CNN,1635,Washington,-2,4506,10851.60754
Rukmini Callimachi,rcallimachi,370192,NYTimes,5136,New York,-1,4470,10440.74469
David Axelrod,davidaxelrod,1433960,NYTimes,1063,,-1,3808,10379.79055
Kara Swisher,karaswisher,1443592,NYTimes,2019,Washington,-1,3802,10376.86349
Jonathan Swan,jonathanvswan,850908,Axios,5945,Washington,-1,4514,10308.3329
Jennifer Jacobs,JenniferJJacobs,384810,Bloomberg,6000,Washington,-1,4724,10305.29617
Yashar Ali,yashar,743181,HuffPost,28907,ðððð,-2,4567,10265.36921
Philip Rucker,PhilipRucker,717822,WashingtonPost,5510,Washington,-1,4228,10177.72426
Chuck Todd,chucktodd,2133500,MSNBC,1889,Washington,-2,3738,10134.341
Michael Barbaro,mikiebarb,290585,NYTimes,1729,New York,-1,4187,9657.515778
Glenn Greenwald,ggreenwald,1700000,substack,993,,0,3745,9612.166667
Margaret Sullivan,Sulliview,136464,WashingtonPost,2992,New York,-1,4329,9519.036368
Ashley Parker,AshleyRParker,443213,WashingtonPost,3512,,-1,4110,9489.241946
Jamelle Bouie,jbouie,438277,NYTimes,1255,Virginia,-1,3950,9324.771188
David Frum,davidfrum,993152,TheAtlantic,1004,Washington,-1,3907,9107.414955
Jonathan Martin,jmartNYT,325737,NYTimes,6000,the 703 202 504 or on the road,-1,3903,9052.762221
Kaitlan Collins,kaitlancollins,1212723,CNN,993,Washington,-2,3709,8917.329869
Josh Dawsey,jdawsey1,325948,WashingtonPost,3447,202 212 843,-1,3924,8894.915483
Arianna Huffington,ariannahuff,2800000,HuffingtonPost,2774,,-2,3029,8885.066667
Andrew Kaczynski,KFILE,445337,CNN,6000,,-2,4096,8800.033451
Abby Phillip,abbydphillip,722865,CNN,3679,Washington,-2,3904,8748.68832
Amanda Gorman,TheAmandaGorman,1596065,NewYorker,675,LA,-2,3239,8713.794314
Nate Cohn,Nate_Cohn,482966,NYTimes,1260,New York,-1,3656,8690.632022
Jodi Kantor,jodikantor,125257,NYTimes,2225,New York,-1,3805,8545.754391
